ocel:eid,ocel:timestamp,ocel:activity,ocel:type:MATNR,ocel:type:WERKS,ocel:type:QNAME,ocel:type:NLPLA,ocel:type:NLQNR
4556,2002-10-25 18:24:58,Transfer Confirmation,['T-BW04-26'],['1000'],['CATT_USER'],['01-01-01'],['01-01-01_0000000040']
4557,2002-10-25 18:24:58,Transfer Confirmation,['T-BW04-26'],['1000'],['CATT_USER'],['01-01-02'],['01-01-02_0000000041']
4558,2002-10-25 18:24:58,Transfer Confirmation,['T-BW04-26'],['1000'],['CATT_USER'],['01-01-03'],['01-01-03_0000000042']
4559,2002-10-25 18:24:58,Transfer Confirmation,['T-BW04-26'],['1000'],['CATT_USER'],['01-01-04'],['01-01-04_0000000043']
4560,2002-10-25 18:24:58,Transfer Confirmation,['T-BW04-26'],['1000'],['CATT_USER'],['01-01-05'],['01-01-05_0000000044']
4561,2002-10-25 18:24:58,Transfer Confirmation,['T-BW04-26'],['1000'],['CATT_USER'],['01-02-01'],['01-02-01_0000000045']
4562,2002-10-25 18:24:58,Transfer Confirmation,['T-BW04-26'],['1000'],['CATT_USER'],['01-02-02'],['01-02-02_0000000046']
4563,2002-10-25 18:24:58,Transfer Confirmation,['T-BW04-26'],['1000'],['CATT_USER'],['01-02-03'],['01-02-03_0000000047']
4564,2002-10-25 18:24:58,Transfer Confirmation,['T-BW04-26'],['1000'],['CATT_USER'],['01-02-04'],['01-02-04_0000000048']
4565,2002-10-25 18:24:58,Transfer Confirmation,['T-BW04-26'],['1000'],['CATT_USER'],['01-02-05'],['01-02-05_0000000049']
4566,2002-10-25 18:24:58,Transfer Confirmation,['T-BW04-26'],['1000'],['CATT_USER'],['01-03-01'],['01-03-01_0000000050']
4567,2002-10-25 18:24:58,Transfer Confirmation,['T-BW04-26'],['1000'],['CATT_USER'],['01-03-02'],['01-03-02_0000000051']
4568,2002-10-25 18:24:58,Transfer Confirmation,['T-BW04-26'],['1000'],['CATT_USER'],['01-03-03'],['01-03-03_0000000052']
4569,2002-10-25 18:24:58,Transfer Confirmation,['T-BW04-26'],['1000'],['CATT_USER'],['01-03-04'],['01-03-04_0000000053']
4570,2002-10-25 18:24:58,Transfer Confirmation,['T-BW04-26'],['1000'],['CATT_USER'],['01-03-05'],['01-03-05_0000000054']
4571,2002-10-25 18:24:58,Transfer Confirmation,['T-BW04-26'],['1000'],['CATT_USER'],['01-04-01'],['01-04-01_0000000055']
4572,2002-10-25 18:24:58,Transfer Confirmation,['T-BW04-26'],['1000'],['CATT_USER'],['01-04-02'],['01-04-02_0000000056']
4573,2002-10-25 18:24:58,Transfer Confirmation,['T-BW04-26'],['1000'],['CATT_USER'],['01-04-03'],['01-04-03_0000000057']
4574,2002-10-25 18:24:58,Transfer Confirmation,['T-BW04-26'],['1000'],['CATT_USER'],['01-04-04'],['01-04-04_0000000058']
4575,2002-10-25 18:24:58,Transfer Confirmation,['T-BW04-26'],['1000'],['CATT_USER'],['01-04-05'],['01-04-05_0000000059']
4576,2002-10-25 18:25:00,Transfer Confirmation,['T-BW05-26'],['1000'],['CATT_USER'],['01-01'],['01-01_0000000061']
4577,2002-10-25 18:25:00,Transfer Confirmation,['T-BW05-26'],['1000'],['CATT_USER'],['01-01'],['01-01_0000000062']
4578,2002-10-25 18:25:00,Transfer Confirmation,['T-BW05-26'],['1000'],['CATT_USER'],['01-01'],['01-01_0000000063']
4579,2002-10-25 18:25:00,Transfer Confirmation,['T-BW05-26'],['1000'],['CATT_USER'],['01-01'],['01-01_0000000064']
4580,2002-10-25 18:25:00,Transfer Confirmation,['T-BW05-26'],['1000'],['CATT_USER'],['01-01'],['01-01_0000000065']
4581,2002-10-25 18:25:00,Transfer Confirmation,['T-BW05-26'],['1000'],['CATT_USER'],['01-02'],['01-02_0000000066']
4582,2002-10-25 18:25:00,Transfer Confirmation,['T-BW05-26'],['1000'],['CATT_USER'],['01-02'],['01-02_0000000067']
4583,2002-10-25 18:25:00,Transfer Confirmation,['T-BW05-26'],['1000'],['CATT_USER'],['01-02'],['01-02_0000000068']
4584,2002-10-25 18:25:00,Transfer Confirmation,['T-BW05-26'],['1000'],['CATT_USER'],['01-02'],['01-02_0000000069']
4585,2002-10-25 18:25:00,Transfer Confirmation,['T-BW05-26'],['1000'],['CATT_USER'],['01-02'],['01-02_0000000070']
4586,2002-10-25 18:25:02,Transfer Confirmation,['T-BW06-26'],['1000'],['CATT_USER'],['03-06-04'],['03-06-04_0000000072']
4587,2002-10-25 18:25:02,Transfer Confirmation,['T-BW06-26'],['1000'],['CATT_USER'],['03-07-04'],['03-07-04_0000000073']
4588,2002-10-25 18:25:02,Transfer Confirmation,['T-BW06-26'],['1000'],['CATT_USER'],['03-08-04'],['03-08-04_0000000074']
4589,2002-10-25 18:25:02,Transfer Confirmation,['T-BW06-26'],['1000'],['CATT_USER'],['03-09-04'],['03-09-04_0000000075']
4590,2002-10-25 18:25:02,Transfer Confirmation,['T-BW06-26'],['1000'],['CATT_USER'],['03-10-04'],['03-10-04_0000000076']
4591,2002-10-25 18:25:02,Transfer Confirmation,['T-BW06-26'],['1000'],['CATT_USER'],['03-01-05'],['03-01-05_0000000077']
4592,2002-10-25 18:25:02,Transfer Confirmation,['T-BW06-26'],['1000'],['CATT_USER'],['03-02-05'],['03-02-05_0000000078']
4593,2002-10-25 18:25:02,Transfer Confirmation,['T-BW06-26'],['1000'],['CATT_USER'],['03-03-05'],['03-03-05_0000000079']
4594,2002-10-25 18:25:02,Transfer Confirmation,['T-BW06-26'],['1000'],['CATT_USER'],['03-04-05'],['03-04-05_0000000080']
4595,2002-10-25 18:25:02,Transfer Confirmation,['T-BW06-26'],['1000'],['CATT_USER'],['03-05-05'],['03-05-05_0000000081']
4596,2002-10-25 18:25:02,Transfer Confirmation,['T-BW06-26'],['1000'],['CATT_USER'],['03-06-05'],['03-06-05_0000000082']
4597,2002-10-25 18:25:04,Transfer Confirmation,['T-BW07-26'],['1000'],['CATT_USER'],['03-07-05'],['03-07-05_0000000085']
4598,2002-10-25 18:25:04,Transfer Confirmation,['T-BW07-26'],['1000'],['CATT_USER'],['03-08-05'],['03-08-05_0000000086']
4599,2002-10-25 18:25:04,Transfer Confirmation,['T-BW07-26'],['1000'],['CATT_USER'],['03-09-05'],['03-09-05_0000000087']
4600,2002-10-25 18:25:04,Transfer Confirmation,['T-BW07-26'],['1000'],['CATT_USER'],['03-10-05'],['03-10-05_0000000088']
4601,2002-10-25 18:25:04,Transfer Confirmation,['T-BW07-26'],['1000'],['CATT_USER'],['03-01-06'],['03-01-06_0000000089']
4602,2002-10-25 18:25:04,Transfer Confirmation,['T-BW07-26'],['1000'],['CATT_USER'],['03-02-06'],['03-02-06_0000000090']
4603,2002-10-25 18:25:04,Transfer Confirmation,['T-BW07-26'],['1000'],['CATT_USER'],['03-03-06'],['03-03-06_0000000091']
4604,2002-10-25 18:25:04,Transfer Confirmation,['T-BW07-26'],['1000'],['CATT_USER'],['03-04-06'],['03-04-06_0000000092']
4605,2002-10-25 18:25:04,Transfer Confirmation,['T-BW07-26'],['1000'],['CATT_USER'],['03-05-06'],['03-05-06_0000000093']
4606,2002-10-25 18:25:04,Transfer Confirmation,['T-BW07-26'],['1000'],['CATT_USER'],['03-06-06'],['03-06-06_0000000094']
4607,2002-10-25 18:25:04,Transfer Confirmation,['T-BW07-26'],['1000'],['CATT_USER'],['03-07-06'],['03-07-06_0000000095']
4608,2002-10-25 18:25:04,Transfer Confirmation,['T-BW07-26'],['1000'],['CATT_USER'],['03-08-06'],['03-08-06_0000000096']
4609,2002-10-25 18:25:04,Transfer Confirmation,['T-BW07-26'],['1000'],['CATT_USER'],['03-09-06'],['03-09-06_0000000097']
4610,2002-10-25 18:25:04,Transfer Confirmation,['T-BW07-26'],['1000'],['CATT_USER'],['03-10-06'],['03-10-06_0000000098']
4611,2002-10-25 18:25:04,Transfer Confirmation,['T-BW07-26'],['1000'],['CATT_USER'],['PROD-1310'],['PROD-1310_0000000099']
4612,2002-10-25 18:25:06,Transfer Confirmation,['T-BW08-26'],['1000'],['CATT_USER'],['01-03'],['01-03_0000000101']
4613,2002-10-25 18:25:06,Transfer Confirmation,['T-BW08-26'],['1000'],['CATT_USER'],['01-03'],['01-03_0000000102']
4614,2002-10-25 18:25:06,Transfer Confirmation,['T-BW08-26'],['1000'],['CATT_USER'],['01-03'],['01-03_0000000103']
4615,2002-10-25 18:25:06,Transfer Confirmation,['T-BW08-26'],['1000'],['CATT_USER'],['01-03'],['01-03_0000000104']
4616,2002-10-25 18:25:06,Transfer Confirmation,['T-BW08-26'],['1000'],['CATT_USER'],['01-04'],['01-04_0000000105']
4617,2002-10-25 18:25:06,Transfer Confirmation,['T-BW08-26'],['1000'],['CATT_USER'],['06-01'],['06-01_0000000106']
4618,2002-10-25 18:25:06,Transfer Confirmation,['T-BW08-26'],['1000'],['CATT_USER'],['06-01'],['06-01_0000000107']
4619,2002-10-25 18:25:06,Transfer Confirmation,['T-BW08-26'],['1000'],['CATT_USER'],['06-01'],['06-01_0000000108']
4620,2002-10-25 18:25:06,Transfer Confirmation,['T-BW08-26'],['1000'],['CATT_USER'],['06-01'],['06-01_0000000109']
4621,2002-10-25 18:25:06,Transfer Confirmation,['T-BW08-26'],['1000'],['CATT_USER'],['06-02'],['06-02_0000000110']
4622,2002-10-25 18:25:07,Transfer Confirmation,['T-BW20-26'],['1000'],['CATT_USER'],['03-07-05'],['03-07-05_0000000112']
4623,2002-10-25 18:25:07,Transfer Confirmation,['T-BW20-26'],['1000'],['CATT_USER'],['03-01-07'],['03-01-07_0000000113']
4624,2002-10-25 18:25:07,Transfer Confirmation,['T-BW20-26'],['1000'],['CATT_USER'],['03-02-07'],['03-02-07_0000000114']
4625,2002-10-25 18:25:07,Transfer Confirmation,['T-BW20-26'],['1000'],['CATT_USER'],['03-03-07'],['03-03-07_0000000115']
4626,2002-10-25 18:25:07,Transfer Confirmation,['T-BW20-26'],['1000'],['CATT_USER'],['03-04-07'],['03-04-07_0000000116']
4627,2002-10-25 18:25:07,Transfer Confirmation,['T-BW20-26'],['1000'],['CATT_USER'],['03-05-07'],['03-05-07_0000000117']
4628,2002-10-25 18:25:07,Transfer Confirmation,['T-BW20-26'],['1000'],['CATT_USER'],['03-06-07'],['03-06-07_0000000118']
4629,2002-10-25 18:25:07,Transfer Confirmation,['T-BW20-26'],['1000'],['CATT_USER'],['03-07-07'],['03-07-07_0000000119']
4630,2002-10-25 18:25:07,Transfer Confirmation,['T-BW20-26'],['1000'],['CATT_USER'],['03-08-07'],['03-08-07_0000000120']
4631,2002-10-25 18:25:07,Transfer Confirmation,['T-BW20-26'],['1000'],['CATT_USER'],['03-09-07'],['03-09-07_0000000121']
4632,2002-10-25 18:25:09,Transfer Confirmation,['T-BW21-26'],['1000'],['CATT_USER'],['03-10-07'],['03-10-07_0000000123']
4633,2002-10-25 18:25:09,Transfer Confirmation,['T-BW21-26'],['1000'],['CATT_USER'],['03-01-08'],['03-01-08_0000000124']
4634,2002-10-25 18:25:09,Transfer Confirmation,['T-BW21-26'],['1000'],['CATT_USER'],['03-02-08'],['03-02-08_0000000125']
4635,2002-10-25 18:25:09,Transfer Confirmation,['T-BW21-26'],['1000'],['CATT_USER'],['03-03-08'],['03-03-08_0000000126']
4636,2002-10-25 18:25:09,Transfer Confirmation,['T-BW21-26'],['1000'],['CATT_USER'],['03-04-08'],['03-04-08_0000000127']
4637,2002-10-25 18:25:09,Transfer Confirmation,['T-BW21-26'],['1000'],['CATT_USER'],['03-05-08'],['03-05-08_0000000128']
4638,2002-10-25 18:25:09,Transfer Confirmation,['T-BW21-26'],['1000'],['CATT_USER'],['03-06-08'],['03-06-08_0000000129']
4639,2002-10-25 18:25:09,Transfer Confirmation,['T-BW21-26'],['1000'],['CATT_USER'],['03-07-08'],['03-07-08_0000000130']
4640,2002-10-25 18:25:09,Transfer Confirmation,['T-BW21-26'],['1000'],['CATT_USER'],['03-08-08'],['03-08-08_0000000131']
4641,2002-10-25 18:25:09,Transfer Confirmation,['T-BW21-26'],['1000'],['CATT_USER'],['03-09-08'],['03-09-08_0000000132']
4642,2002-10-25 18:25:09,Transfer Confirmation,['T-BW21-26'],['1000'],['CATT_USER'],['03-10-08'],['03-10-08_0000000133']
4643,2002-10-25 18:25:10,Transfer Confirmation,['T-BW06-26'],['1000'],['CATT_USER'],['03-01-09'],['03-01-09_0000000135']
4644,2002-10-25 18:25:10,Transfer Confirmation,['T-BW06-26'],['1000'],['CATT_USER'],['03-02-09'],['03-02-09_0000000136']
4645,2002-10-25 18:25:10,Transfer Confirmation,['T-BW06-26'],['1000'],['CATT_USER'],['03-03-09'],['03-03-09_0000000137']
4646,2002-10-25 18:27:28,Transfer Confirmation,['T-BW02-27'],['1000'],['CATT_USER'],['03-01-01'],['03-01-01_0000000002']
4647,2002-10-25 18:27:28,Transfer Confirmation,['T-BW02-27'],['1000'],['CATT_USER'],['03-02-01'],['03-02-01_0000000003']
4648,2002-10-25 18:27:28,Transfer Confirmation,['T-BW02-27'],['1000'],['CATT_USER'],['03-03-01'],['03-03-01_0000000004']
4649,2002-10-25 18:27:28,Transfer Confirmation,['T-BW02-27'],['1000'],['CATT_USER'],['03-04-01'],['03-04-01_0000000005']
4650,2002-10-25 18:27:28,Transfer Confirmation,['T-BW02-27'],['1000'],['CATT_USER'],['03-05-01'],['03-05-01_0000000006']
4651,2002-10-25 18:27:28,Transfer Confirmation,['T-BW02-27'],['1000'],['CATT_USER'],['03-06-01'],['03-06-01_0000000007']
4652,2002-10-25 18:27:28,Transfer Confirmation,['T-BW02-27'],['1000'],['CATT_USER'],['03-07-01'],['03-07-01_0000000008']
4653,2002-10-25 18:27:28,Transfer Confirmation,['T-BW02-27'],['1000'],['CATT_USER'],['03-08-01'],['03-08-01_0000000009']
4654,2002-10-25 18:27:28,Transfer Confirmation,['T-BW02-27'],['1000'],['CATT_USER'],['03-09-01'],['03-09-01_0000000010']
4655,2002-10-25 18:27:28,Transfer Confirmation,['T-BW02-27'],['1000'],['CATT_USER'],['03-10-01'],['03-10-01_0000000011']
4656,2002-10-25 18:27:30,Transfer Confirmation,['T-BW-27'],['1000'],['CATT_USER'],['03-01-02'],['03-01-02_0000000013']
4657,2002-10-25 18:27:30,Transfer Confirmation,['T-BW-27'],['1000'],['CATT_USER'],['03-02-02'],['03-02-02_0000000014']
4658,2002-10-25 18:27:30,Transfer Confirmation,['T-BW-27'],['1000'],['CATT_USER'],['03-03-02'],['03-03-02_0000000015']
4659,2002-10-25 18:27:30,Transfer Confirmation,['T-BW-27'],['1000'],['CATT_USER'],['03-04-02'],['03-04-02_0000000016']
4660,2002-10-25 18:27:30,Transfer Confirmation,['T-BW-27'],['1000'],['CATT_USER'],['03-05-02'],['03-05-02_0000000017']
4661,2002-10-25 18:27:30,Transfer Confirmation,['T-BW-27'],['1000'],['CATT_USER'],['03-06-02'],['03-06-02_0000000018']
4662,2002-10-25 18:27:30,Transfer Confirmation,['T-BW-27'],['1000'],['CATT_USER'],['03-07-02'],['03-07-02_0000000019']
4663,2002-10-25 18:27:30,Transfer Confirmation,['T-BW-27'],['1000'],['CATT_USER'],['03-08-02'],['03-08-02_0000000020']
4664,2002-10-25 18:27:30,Transfer Confirmation,['T-BW-27'],['1000'],['CATT_USER'],['03-09-02'],['03-09-02_0000000021']
4665,2002-10-25 18:27:30,Transfer Confirmation,['T-BW-27'],['1000'],['CATT_USER'],['03-10-02'],['03-10-02_0000000022']
4666,2002-10-25 18:27:30,Transfer Confirmation,['T-BW-27'],['1000'],['CATT_USER'],['03-01-03'],['03-01-03_0000000023']
4667,2002-10-25 18:27:30,Transfer Confirmation,['T-BW-27'],['1000'],['CATT_USER'],['03-02-03'],['03-02-03_0000000024']
4668,2002-10-25 18:27:30,Transfer Confirmation,['T-BW-27'],['1000'],['CATT_USER'],['03-03-03'],['03-03-03_0000000025']
4669,2002-10-25 18:27:30,Transfer Confirmation,['T-BW-27'],['1000'],['CATT_USER'],['03-04-03'],['03-04-03_0000000026']
4670,2002-10-25 18:27:30,Transfer Confirmation,['T-BW-27'],['1000'],['CATT_USER'],['03-05-03'],['03-05-03_0000000027']
4671,2002-10-25 18:27:30,Transfer Confirmation,['T-BW-27'],['1000'],['CATT_USER'],['03-06-03'],['03-06-03_0000000028']
4672,2002-10-25 18:27:30,Transfer Confirmation,['T-BW-27'],['1000'],['CATT_USER'],['03-07-03'],['03-07-03_0000000029']
4673,2002-10-25 18:27:30,Transfer Confirmation,['T-BW-27'],['1000'],['CATT_USER'],['03-08-03'],['03-08-03_0000000030']
4674,2002-10-25 18:27:30,Transfer Confirmation,['T-BW-27'],['1000'],['CATT_USER'],['03-09-03'],['03-09-03_0000000031']
4675,2002-10-25 18:27:30,Transfer Confirmation,['T-BW-27'],['1000'],['CATT_USER'],['03-10-03'],['03-10-03_0000000032']
4676,2002-10-25 18:27:31,Transfer Confirmation,['T-BW03-27'],['1000'],['CATT_USER'],['03-01-04'],['03-01-04_0000000034']
4677,2002-10-25 18:27:31,Transfer Confirmation,['T-BW03-27'],['1000'],['CATT_USER'],['03-02-04'],['03-02-04_0000000035']
4678,2002-10-25 18:27:31,Transfer Confirmation,['T-BW03-27'],['1000'],['CATT_USER'],['03-03-04'],['03-03-04_0000000036']
4679,2002-10-25 18:27:31,Transfer Confirmation,['T-BW03-27'],['1000'],['CATT_USER'],['03-04-04'],['03-04-04_0000000037']
4680,2002-10-25 18:27:31,Transfer Confirmation,['T-BW03-27'],['1000'],['CATT_USER'],['03-05-04'],['03-05-04_0000000038']
4681,2002-10-25 18:27:33,Transfer Confirmation,['T-BW04-27'],['1000'],['CATT_USER'],['01-01-01'],['01-01-01_0000000040']
4682,2002-10-25 18:27:33,Transfer Confirmation,['T-BW04-27'],['1000'],['CATT_USER'],['01-01-02'],['01-01-02_0000000041']
4683,2002-10-25 18:27:33,Transfer Confirmation,['T-BW04-27'],['1000'],['CATT_USER'],['01-01-03'],['01-01-03_0000000042']
4684,2002-10-25 18:27:33,Transfer Confirmation,['T-BW04-27'],['1000'],['CATT_USER'],['01-01-04'],['01-01-04_0000000043']
4685,2002-10-25 18:27:33,Transfer Confirmation,['T-BW04-27'],['1000'],['CATT_USER'],['01-01-05'],['01-01-05_0000000044']
4686,2002-10-25 18:27:33,Transfer Confirmation,['T-BW04-27'],['1000'],['CATT_USER'],['01-02-01'],['01-02-01_0000000045']
4687,2002-10-25 18:27:33,Transfer Confirmation,['T-BW04-27'],['1000'],['CATT_USER'],['01-02-02'],['01-02-02_0000000046']
4688,2002-10-25 18:27:33,Transfer Confirmation,['T-BW04-27'],['1000'],['CATT_USER'],['01-02-03'],['01-02-03_0000000047']
4689,2002-10-25 18:27:33,Transfer Confirmation,['T-BW04-27'],['1000'],['CATT_USER'],['01-02-04'],['01-02-04_0000000048']
4690,2002-10-25 18:27:33,Transfer Confirmation,['T-BW04-27'],['1000'],['CATT_USER'],['01-02-05'],['01-02-05_0000000049']
4691,2002-10-25 18:27:33,Transfer Confirmation,['T-BW04-27'],['1000'],['CATT_USER'],['01-03-01'],['01-03-01_0000000050']
4692,2002-10-25 18:27:33,Transfer Confirmation,['T-BW04-27'],['1000'],['CATT_USER'],['01-03-02'],['01-03-02_0000000051']
4693,2002-10-25 18:27:33,Transfer Confirmation,['T-BW04-27'],['1000'],['CATT_USER'],['01-03-03'],['01-03-03_0000000052']
4694,2002-10-25 18:27:33,Transfer Confirmation,['T-BW04-27'],['1000'],['CATT_USER'],['01-03-04'],['01-03-04_0000000053']
4695,2002-10-25 18:27:33,Transfer Confirmation,['T-BW04-27'],['1000'],['CATT_USER'],['01-03-05'],['01-03-05_0000000054']
4696,2002-10-25 18:27:33,Transfer Confirmation,['T-BW04-27'],['1000'],['CATT_USER'],['01-04-01'],['01-04-01_0000000055']
4697,2002-10-25 18:27:33,Transfer Confirmation,['T-BW04-27'],['1000'],['CATT_USER'],['01-04-02'],['01-04-02_0000000056']
4698,2002-10-25 18:27:33,Transfer Confirmation,['T-BW04-27'],['1000'],['CATT_USER'],['01-04-03'],['01-04-03_0000000057']
4699,2002-10-25 18:27:33,Transfer Confirmation,['T-BW04-27'],['1000'],['CATT_USER'],['01-04-04'],['01-04-04_0000000058']
4700,2002-10-25 18:27:33,Transfer Confirmation,['T-BW04-27'],['1000'],['CATT_USER'],['01-04-05'],['01-04-05_0000000059']
4701,2002-10-25 18:27:34,Transfer Confirmation,['T-BW05-27'],['1000'],['CATT_USER'],['01-01'],['01-01_0000000061']
4702,2002-10-25 18:27:34,Transfer Confirmation,['T-BW05-27'],['1000'],['CATT_USER'],['01-01'],['01-01_0000000062']
4703,2002-10-25 18:27:34,Transfer Confirmation,['T-BW05-27'],['1000'],['CATT_USER'],['01-01'],['01-01_0000000063']
4704,2002-10-25 18:27:34,Transfer Confirmation,['T-BW05-27'],['1000'],['CATT_USER'],['01-01'],['01-01_0000000064']
4705,2002-10-25 18:27:34,Transfer Confirmation,['T-BW05-27'],['1000'],['CATT_USER'],['01-01'],['01-01_0000000065']
4706,2002-10-25 18:27:34,Transfer Confirmation,['T-BW05-27'],['1000'],['CATT_USER'],['01-02'],['01-02_0000000066']
4707,2002-10-25 18:27:34,Transfer Confirmation,['T-BW05-27'],['1000'],['CATT_USER'],['01-02'],['01-02_0000000067']
4708,2002-10-25 18:27:34,Transfer Confirmation,['T-BW05-27'],['1000'],['CATT_USER'],['01-02'],['01-02_0000000068']
4709,2002-10-25 18:27:34,Transfer Confirmation,['T-BW05-27'],['1000'],['CATT_USER'],['01-02'],['01-02_0000000069']
4710,2002-10-25 18:27:34,Transfer Confirmation,['T-BW05-27'],['1000'],['CATT_USER'],['01-02'],['01-02_0000000070']
4711,2002-10-25 18:27:37,Transfer Confirmation,['T-BW06-27'],['1000'],['CATT_USER'],['03-06-04'],['03-06-04_0000000072']
4712,2002-10-25 18:27:37,Transfer Confirmation,['T-BW06-27'],['1000'],['CATT_USER'],['03-07-04'],['03-07-04_0000000073']
4713,2002-10-25 18:27:37,Transfer Confirmation,['T-BW06-27'],['1000'],['CATT_USER'],['03-08-04'],['03-08-04_0000000074']
4714,2002-10-25 18:27:37,Transfer Confirmation,['T-BW06-27'],['1000'],['CATT_USER'],['03-09-04'],['03-09-04_0000000075']
4715,2002-10-25 18:27:37,Transfer Confirmation,['T-BW06-27'],['1000'],['CATT_USER'],['03-10-04'],['03-10-04_0000000076']
4716,2002-10-25 18:27:37,Transfer Confirmation,['T-BW06-27'],['1000'],['CATT_USER'],['03-01-05'],['03-01-05_0000000077']
4717,2002-10-25 18:27:37,Transfer Confirmation,['T-BW06-27'],['1000'],['CATT_USER'],['03-02-05'],['03-02-05_0000000078']
4718,2002-10-25 18:27:37,Transfer Confirmation,['T-BW06-27'],['1000'],['CATT_USER'],['03-03-05'],['03-03-05_0000000079']
4719,2002-10-25 18:27:37,Transfer Confirmation,['T-BW06-27'],['1000'],['CATT_USER'],['03-04-05'],['03-04-05_0000000080']
4720,2002-10-25 18:27:37,Transfer Confirmation,['T-BW06-27'],['1000'],['CATT_USER'],['03-05-05'],['03-05-05_0000000081']
4721,2002-10-25 18:27:37,Transfer Confirmation,['T-BW06-27'],['1000'],['CATT_USER'],['03-06-05'],['03-06-05_0000000082']
4722,2002-10-25 18:27:38,Transfer Confirmation,['T-BW07-27'],['1000'],['CATT_USER'],['03-07-05'],['03-07-05_0000000085']
4723,2002-10-25 18:27:38,Transfer Confirmation,['T-BW07-27'],['1000'],['CATT_USER'],['03-08-05'],['03-08-05_0000000086']
4724,2002-10-25 18:27:38,Transfer Confirmation,['T-BW07-27'],['1000'],['CATT_USER'],['03-09-05'],['03-09-05_0000000087']
4725,2002-10-25 18:27:38,Transfer Confirmation,['T-BW07-27'],['1000'],['CATT_USER'],['03-10-05'],['03-10-05_0000000088']
4726,2002-10-25 18:27:38,Transfer Confirmation,['T-BW07-27'],['1000'],['CATT_USER'],['03-01-06'],['03-01-06_0000000089']
4727,2002-10-25 18:27:38,Transfer Confirmation,['T-BW07-27'],['1000'],['CATT_USER'],['03-02-06'],['03-02-06_0000000090']
4728,2002-10-25 18:27:38,Transfer Confirmation,['T-BW07-27'],['1000'],['CATT_USER'],['03-03-06'],['03-03-06_0000000091']
4729,2002-10-25 18:27:38,Transfer Confirmation,['T-BW07-27'],['1000'],['CATT_USER'],['03-04-06'],['03-04-06_0000000092']
4730,2002-10-25 18:27:38,Transfer Confirmation,['T-BW07-27'],['1000'],['CATT_USER'],['03-05-06'],['03-05-06_0000000093']
4731,2002-10-25 18:27:38,Transfer Confirmation,['T-BW07-27'],['1000'],['CATT_USER'],['03-06-06'],['03-06-06_0000000094']
4732,2002-10-25 18:27:39,Transfer Confirmation,['T-BW07-27'],['1000'],['CATT_USER'],['03-07-06'],['03-07-06_0000000095']
4733,2002-10-25 18:27:39,Transfer Confirmation,['T-BW07-27'],['1000'],['CATT_USER'],['03-08-06'],['03-08-06_0000000096']
4734,2002-10-25 18:27:39,Transfer Confirmation,['T-BW07-27'],['1000'],['CATT_USER'],['03-09-06'],['03-09-06_0000000097']
4735,2002-10-25 18:27:39,Transfer Confirmation,['T-BW07-27'],['1000'],['CATT_USER'],['03-10-06'],['03-10-06_0000000098']
4736,2002-10-25 18:27:39,Transfer Confirmation,['T-BW07-27'],['1000'],['CATT_USER'],['PROD-1310'],['PROD-1310_0000000099']
4737,2002-10-25 18:27:40,Transfer Confirmation,['T-BW08-27'],['1000'],['CATT_USER'],['01-03'],['01-03_0000000101']
4738,2002-10-25 18:27:40,Transfer Confirmation,['T-BW08-27'],['1000'],['CATT_USER'],['01-03'],['01-03_0000000102']
4739,2002-10-25 18:27:40,Transfer Confirmation,['T-BW08-27'],['1000'],['CATT_USER'],['01-03'],['01-03_0000000103']
4740,2002-10-25 18:27:40,Transfer Confirmation,['T-BW08-27'],['1000'],['CATT_USER'],['01-03'],['01-03_0000000104']
4741,2002-10-25 18:27:40,Transfer Confirmation,['T-BW08-27'],['1000'],['CATT_USER'],['01-04'],['01-04_0000000105']
4742,2002-10-25 18:27:41,Transfer Confirmation,['T-BW08-27'],['1000'],['CATT_USER'],['06-01'],['06-01_0000000106']
4743,2002-10-25 18:27:41,Transfer Confirmation,['T-BW08-27'],['1000'],['CATT_USER'],['06-01'],['06-01_0000000107']
4744,2002-10-25 18:27:41,Transfer Confirmation,['T-BW08-27'],['1000'],['CATT_USER'],['06-01'],['06-01_0000000108']
4745,2002-10-25 18:27:41,Transfer Confirmation,['T-BW08-27'],['1000'],['CATT_USER'],['06-01'],['06-01_0000000109']
4746,2002-10-25 18:27:41,Transfer Confirmation,['T-BW08-27'],['1000'],['CATT_USER'],['06-02'],['06-02_0000000110']
4747,2002-10-25 18:27:42,Transfer Confirmation,['T-BW20-27'],['1000'],['CATT_USER'],['03-07-05'],['03-07-05_0000000112']
4748,2002-10-25 18:27:42,Transfer Confirmation,['T-BW20-27'],['1000'],['CATT_USER'],['03-01-07'],['03-01-07_0000000113']
4749,2002-10-25 18:27:42,Transfer Confirmation,['T-BW20-27'],['1000'],['CATT_USER'],['03-02-07'],['03-02-07_0000000114']
4750,2002-10-25 18:27:42,Transfer Confirmation,['T-BW20-27'],['1000'],['CATT_USER'],['03-03-07'],['03-03-07_0000000115']
4751,2002-10-25 18:27:42,Transfer Confirmation,['T-BW20-27'],['1000'],['CATT_USER'],['03-04-07'],['03-04-07_0000000116']
4752,2002-10-25 18:27:42,Transfer Confirmation,['T-BW20-27'],['1000'],['CATT_USER'],['03-05-07'],['03-05-07_0000000117']
4753,2002-10-25 18:27:42,Transfer Confirmation,['T-BW20-27'],['1000'],['CATT_USER'],['03-06-07'],['03-06-07_0000000118']
